Date,Open,High,Low,Close,Adj Close,Volume
2015-09-11,726.650024,733.500000,724.900024,729.849976,574.572388,44356
2015-09-14,733.250000,770.400024,732.450012,765.049988,602.283813,123922
2015-09-15,769.650024,770.000000,748.000000,749.700012,590.199402,79308
2015-09-16,753.450012,754.299988,719.000000,730.650024,575.202271,597337
2015-09-18,729.000000,753.750000,710.049988,721.000000,567.605286,460955
2015-09-21,715.000000,727.000000,708.950012,716.950012,564.417114,40647
2015-09-22,724.599976,727.549988,693.450012,700.900024,551.781738,140740
2015-09-23,690.000000,736.700012,690.000000,730.849976,575.359741,124956
2015-09-24,727.000000,731.000000,714.150024,721.650024,568.117126,135011
2015-09-28,722.799988,730.900024,721.549988,727.349976,572.604370,42745
2015-09-29,723.000000,747.500000,703.049988,744.099976,585.790833,213396
2015-09-30,750.500000,797.349976,750.000000,791.750000,623.303101,661481
2015-10-01,795.000000,814.000000,778.299988,794.500000,625.468140,157310
2015-10-05,801.500000,806.000000,784.750000,787.549988,619.996521,73417
2015-10-06,792.500000,795.799988,782.000000,787.549988,619.996521,62801
2015-10-07,790.400024,806.599976,780.200012,784.500000,617.595581,121129
2015-10-08,786.000000,786.000000,750.400024,755.000000,594.371826,67568
2015-10-09,755.000000,769.000000,738.799988,741.750000,583.940735,96302
2015-10-12,743.900024,745.000000,731.000000,739.650024,582.287476,57101
2015-10-13,741.150024,741.450012,725.700012,733.900024,577.760864,53031
2015-10-14,739.000000,749.849976,733.000000,744.549988,586.145020,68619
2015-10-15,749.700012,753.000000,742.400024,745.250000,586.696106,37603
2015-10-16,749.700012,749.700012,720.200012,731.549988,575.910706,99083
2015-10-19,734.000000,746.349976,733.849976,744.250000,585.908875,44596
2015-10-20,748.000000,748.400024,734.750000,738.200012,581.145996,64176
2015-10-21,736.000000,747.750000,729.750000,736.450012,579.768311,124597
2015-10-23,742.000000,758.200012,740.000000,743.950012,585.672791,71855
2015-10-26,745.000000,748.700012,732.849976,744.650024,586.223755,37678
2015-10-27,743.200012,750.599976,740.700012,747.750000,588.664246,24042
2015-10-28,742.150024,751.200012,733.849976,740.650024,583.074768,40176
2015-10-29,742.599976,742.599976,720.299988,724.500000,570.360657,72198
2015-10-30,728.000000,738.799988,713.000000,722.450012,568.746765,101982
2015-11-02,717.000000,725.500000,705.450012,721.700012,575.323547,41752
2015-11-03,728.000000,728.000000,717.299988,725.599976,578.432617,22072
2015-11-04,726.500000,728.849976,712.450012,715.700012,570.540466,28975
2015-11-05,716.049988,717.099976,705.000000,707.299988,563.844238,64508
2015-11-06,710.750000,711.849976,700.049988,705.200012,562.170105,34720
2015-11-09,691.599976,704.000000,681.200012,699.500000,557.626221,36145
2015-11-10,694.099976,707.000000,691.049988,697.150024,555.752991,43256
2015-11-13,713.000000,713.000000,590.599976,643.849976,513.263245,1410843
2015-11-16,643.500000,644.500000,619.549988,630.049988,502.262177,593082
2015-11-17,633.150024,638.400024,619.599976,621.400024,495.366516,129873
2015-11-18,620.900024,620.900024,597.099976,602.849976,480.578888,216311
2015-11-19,605.700012,626.750000,603.000000,614.750000,490.065369,703826
2015-11-20,619.950012,670.000000,617.900024,653.900024,521.274963,578973
2015-11-23,665.000000,681.799988,650.099976,678.299988,540.726135,224838
2015-11-24,683.900024,696.750000,675.500000,691.799988,551.487854,148875
2015-11-26,697.000000,697.549988,675.500000,680.549988,542.519714,102434
2015-11-27,683.700012,693.000000,680.549988,686.349976,547.143494,82648
2015-11-30,691.700012,693.299988,672.500000,687.500000,548.060181,88477
2015-12-01,690.000000,722.400024,689.450012,717.549988,572.015198,222011
2015-12-02,722.500000,724.750000,710.250000,718.799988,573.011780,87751
2015-12-03,715.549988,720.099976,711.000000,713.500000,568.786804,59566
2015-12-04,712.000000,714.299988,703.599976,709.150024,565.319031,87601
2015-12-07,709.599976,710.900024,689.650024,693.549988,552.882996,118085
2015-12-08,689.450012,693.500000,676.250000,677.650024,540.207825,49886
2015-12-09,677.000000,693.150024,664.000000,669.700012,533.870300,69426
2015-12-10,677.000000,679.450012,654.000000,673.299988,536.740112,82712
2015-12-11,673.450012,679.900024,652.250000,660.799988,526.775513,63678
2015-12-14,660.000000,681.500000,653.950012,669.500000,533.710754,59528
2015-12-15,675.799988,678.750000,666.250000,672.450012,536.062500,46442
2015-12-16,676.099976,698.500000,675.650024,688.750000,549.056641,134878
2015-12-17,695.950012,715.400024,690.000000,712.750000,568.188782,113759
2015-12-18,710.000000,719.450012,699.400024,702.799988,560.256958,61525
2015-12-21,702.000000,714.000000,695.049988,704.099976,561.293274,58869
2015-12-22,706.000000,711.000000,641.000000,699.549988,557.666138,46335
2015-12-23,705.049988,707.000000,697.000000,701.750000,559.419983,23865
2015-12-24,702.549988,709.000000,699.799988,707.049988,563.644958,26652
2015-12-28,707.000000,716.000000,707.000000,710.750000,566.594543,20453
2015-12-29,712.900024,739.000000,712.250000,732.750000,584.132446,84846
2015-12-30,735.900024,741.700012,726.650024,729.950012,581.900452,56156
2015-12-31,736.000000,741.000000,723.000000,737.450012,587.879211,45221
2016-01-01,731.000000,741.000000,725.700012,735.950012,586.683411,23194
2016-01-04,733.000000,735.599976,719.500000,722.849976,576.240234,82083
2016-01-05,725.000000,735.950012,724.500000,733.150024,584.451355,48612
2016-01-06,737.099976,749.000000,728.849976,734.950012,585.886230,61105
2016-01-07,734.500000,734.599976,707.000000,716.299988,571.018799,52822
2016-01-08,730.000000,739.500000,718.700012,736.250000,586.922607,30840
2016-01-11,733.000000,744.500000,725.700012,736.099976,586.803040,43163
2016-01-12,726.299988,742.500000,705.000000,713.500000,568.786804,39450
